theory_id,domain_id,current_code,current_polarity,proposed_code,proposed_polarity,proposed_relation,agrees_with_current,quote_1,quote_2,source_locus,sections_searched,confidence,note,reading_status,change_direction,flag_for_adjudication
AST,M7,INTERPRETED,positive,INTERPRETED,positive,marker,yes,The theory addresses the problem of how an information-processing machine constructs a self-model that inaccurately describes an intangible conscious experience.,The results support the interpretation that attention control relies partly on an internal model that is responsible for claims of awareness.,"Wilterson et al. 2020, §1 Introduction (p. 2) and Abstract; §5 General discussion (AST as 'a higher-order representation of the global workspace')","whole text keyword-indexed (all sections, boxes, figure legends, footnotes; reference list excluded), hit passages read in context; §1, §5 read",2,Full text confirms systematic inaccuracy of the schema as the stated mechanism; no metacognitive precision quantity is stated to govern awareness. INTERPRETED positive stands; confidence raised from 1 to 2.,read,unchanged,False
AST,M8,EXPLICIT,positive,EXPLICIT,positive,marker,yes,"When the TMS was targeted to the same cortical sites that had become active during the social attribution task, the subjects showed symptoms of visual neglect in that their detection of visual stimuli was significantly affected.","attaching the construct of awareness to a specific item ... requires some method of integrating information across disparate brain areas into a single, larger, brain-spanning representation (the S+A+V of Figure 1B).","Kelly et al. 2014, Abstract and Results 'Visual Detection Experiment' (interaction F = 5.76, P = 0.03); Webb & Graziano 2015, section 'The Attention Schema Theory' (Figure 1B)","whole text keyword-indexed (all sections, boxes, figure legends, footnotes; reference list excluded), hit passages read in context in both sources",2,"Kelly 2014 supports the TPJ locus and its causal disruption of detection, but the authors' own interpretation is hedged ('may be at least some partial overlap'). Webb & Graziano 2015 names no region; it states a brain-spanning integrated representation. EXPLICIT positive stands.",read,unchanged,False
GNWT,M1,NOT_LOCATED,,INTERPRETED,positive,effect,no,"This simulation showed that workspace activation increased during the acquisition of a novel task, its effortful execution, and after errors.",it is the wide accessibility of this information that is hypothesized to constitute conscious experience.,"Mashour et al. 2020, 'Simulations of the Global Workspace' (p. 777) and 'Hypothesis' (p. 776)","whole text keyword-indexed (all sections, boxes, figure legends, footnotes; reference list excluded), hit passages read in context",1,Stroop simulation: workspace activation rises under effortful (conflictual) execution; with ignition = access this yields a one-step inference that conflict tasks engage access more. Not a statement about the number of policies. Candidate INTERPRETED; first coder may keep NOT_LOCATED. Flag.,read,stronger,True
GNWT,M2,NOT_LOCATED,,NOT_LOCATED,,,yes,"Kunde et al. [51] studied the 'Gratton effect', a strategic increase in executive control that follows Stroop interference trials. They observed this effect following conscious conflict trials, but not following subliminal conflict trials.",,"Dehaene et al. 2006, 'Accounting for conflicting behavioural data' (p. 207)","whole text keyword-indexed (all sections, boxes, figure legends, footnotes; reference list excluded), hit passages read in context",2,"Only conflict passage concerns control adjustment after conscious vs subliminal conflict (consciousness as cause, not effect of conflict degree). No statement that the degree of policy incompatibility changes access. NOT_LOCATED stands.",read,unchanged,False
GNWT,M3,INTERPRETED,stated_null,INTERPRETED,stated_null,effect,yes,the communication between them is so extensive and rapid that any information available to one is quickly made available to others.,it is the wide accessibility of this information that is hypothesized to constitute conscious experience.,"Mashour et al. 2020, 'Hypothesis' (pp. 776-777)","whole text keyword-indexed (all sections, boxes, figure legends, footnotes; reference list excluded), hit passages read in context; no occurrence of valence/emotion/reward/threat in the review body",2,Full text confirms content-neutral broadcast ('any information'); valence never mentioned as a variable. The stated_null remains an inference from content neutrality. Unchanged.,read,unchanged,False
GNWT,M5,INTERPRETED,positive,NOT_LOCATED,,,no,"Long-distance loops and global synchrony ... Durable activation, maintained at will","A visual target T1 ... is consciously accessed when it activates, in a synchronized, reciprocal and long-lasting manner, a set of 'central workspace' neurons particularly dense in parietal, prefrontal and cingulate cortices","Dehaene et al. 2006, Figure 1 legend (p. 206) and Figure 2 legend (p. 208)","whole text keyword-indexed (all sections, boxes, figure legends, footnotes; reference list excluded), hit passages read in context; no occurrence of autonomic/visceral/heart/body/organism",2,Full text weakens the abstract-based INTERPRETED: the only coherence statements are cortical (parieto-frontal synchrony). No organism-wide or embodied statement exists that could anchor the inference to a cortical-autonomic metric. Propose NOT_LOCATED.,read,weaker,False
GNWT,M6,NOT_LOCATED,,NOT_LOCATED,,,yes,"Sleep, however, creates the possibility of correlating the quality and richness of conscious experience with various neural substrates.","integration (the unity of a conscious experience) and differentiation (the large number of states available) (Oizumi et al., 2014; Tononi, 2004; Tononi et al., 2016).","Mashour et al. 2020, 'Sleep' (p. 786) and 'Integrated Information Theory' comparison (p. 788)","whole text keyword-indexed (all sections, boxes, figure legends, footnotes; reference list excluded), hit passages read in context",2,"'Richness' and 'repertoire of states' appear only as level-of-consciousness markers (sleep, anaesthesia) or attributed to IIT. No GNWT statement on the dimensionality of accessed content. NOT_LOCATED stands.",read,unchanged,False
GNWT,M7,INTERPRETED,positive,EXPLICIT,positive,necessity,no,we argue that the successful function of a global workspace critically requires that the broadcast representations include a metacognitive component.,The Hypothesis: Representations in the global workspace always have a metacognitive component ... the confidence signals that drive it are always present when a response is based on conscious stimuli.,"Shea & Frith 2019, Abstract; 'Our Hypothesis' box (p. 563); 'Automatic Error Detection' (p. 567)","whole text keyword-indexed (all sections, boxes, figure legends, footnotes; reference list excluded), hit passages read in context; Hypothesis, Simple Model, Concluding Remarks read",2,Full text states the prediction directly (metacognitive component always accompanies workspace content; testable via cognitive-load effects on confidence). Stronger than abstract-based INTERPRETED. Caveat: auxiliary source; GNWT proponents (Mashour 2020) do not state it.,read,stronger,False
GNWT,M4a,NOT_LOCATED,,NOT_LOCATED,,,yes,,,"Mashour et al. 2020, whole review","whole text keyword-indexed (all sections, boxes, figure legends, footnotes; reference list excluded), hit passages read in context; interoceptive/visceral/heartbeat/respiration/gastric/homeostatic: 0 hits in body",2,No statement bearing on this quantity anywhere in the full text. NOT_LOCATED stands.,read,unchanged,False
GNWT,M4b,NOT_LOCATED,,NOT_LOCATED,,,yes,"Sensitivity could be predicted even prior to stimulus onset by taking pre-stimulus brain-state markers, including the monkeys' motivation, pre-stimulus firing rates, and frequency bands in the EEG into account.",,"Mashour et al. 2020, 'Signal detection theory' passage (p. 780)","whole text keyword-indexed (all sections, boxes, figure legends, footnotes; reference list excluded), hit passages read in context; arousal appears only for thalamic arousal signals under anaesthesia; pre-stimulus markers named are motivation, firing rate, EEG bands - none autonomic",2,"No statement bearing on this quantity anywhere in the full text. NOT_LOCATED stands. The only pre-stimulus modulators named are neural/motivational, not visceral.",read,unchanged,False
