scope,domain_id,code,polarity,n
trial-level,M1,EXPLICIT,positive,1
trial-level,M1,EXPLICIT,null,0
trial-level,M1,EXPLICIT,negative,0
trial-level,M1,INTERPRETED,positive,0
trial-level,M1,INTERPRETED,null,1
trial-level,M1,INTERPRETED,negative,0
trial-level,M1,NOT_LOCATED,,8
trial-level,M1,NOT_APPLICABLE,,0
trial-level,M1,UNRESOLVED,,0
trial-level,M1,ALL,,10
trial-level,M2,EXPLICIT,positive,1
trial-level,M2,EXPLICIT,null,0
trial-level,M2,EXPLICIT,negative,0
trial-level,M2,INTERPRETED,positive,1
trial-level,M2,INTERPRETED,null,1
trial-level,M2,INTERPRETED,negative,0
trial-level,M2,NOT_LOCATED,,7
trial-level,M2,NOT_APPLICABLE,,0
trial-level,M2,UNRESOLVED,,0
trial-level,M2,ALL,,10
trial-level,M3,EXPLICIT,positive,1
trial-level,M3,EXPLICIT,null,0
trial-level,M3,EXPLICIT,negative,0
trial-level,M3,INTERPRETED,positive,1
trial-level,M3,INTERPRETED,null,4
trial-level,M3,INTERPRETED,negative,0
trial-level,M3,NOT_LOCATED,,4
trial-level,M3,NOT_APPLICABLE,,0
trial-level,M3,UNRESOLVED,,0
trial-level,M3,ALL,,10
trial-level,M4a,EXPLICIT,positive,1
trial-level,M4a,EXPLICIT,null,0
trial-level,M4a,EXPLICIT,negative,0
trial-level,M4a,INTERPRETED,positive,4
trial-level,M4a,INTERPRETED,null,1
trial-level,M4a,INTERPRETED,negative,0
trial-level,M4a,NOT_LOCATED,,4
trial-level,M4a,NOT_APPLICABLE,,0
trial-level,M4a,UNRESOLVED,,0
trial-level,M4a,ALL,,10
trial-level,M4b,EXPLICIT,positive,2
trial-level,M4b,EXPLICIT,null,0
trial-level,M4b,EXPLICIT,negative,0
trial-level,M4b,INTERPRETED,positive,0
trial-level,M4b,INTERPRETED,null,0
trial-level,M4b,INTERPRETED,negative,0
trial-level,M4b,NOT_LOCATED,,8
trial-level,M4b,NOT_APPLICABLE,,0
trial-level,M4b,UNRESOLVED,,0
trial-level,M4b,ALL,,10
trial-level,M4c,EXPLICIT,positive,0
trial-level,M4c,EXPLICIT,null,2
trial-level,M4c,EXPLICIT,negative,0
trial-level,M4c,INTERPRETED,positive,3
trial-level,M4c,INTERPRETED,null,0
trial-level,M4c,INTERPRETED,negative,0
trial-level,M4c,NOT_LOCATED,,5
trial-level,M4c,NOT_APPLICABLE,,0
trial-level,M4c,UNRESOLVED,,0
trial-level,M4c,ALL,,10
trial-level,M5,EXPLICIT,positive,0
trial-level,M5,EXPLICIT,null,0
trial-level,M5,EXPLICIT,negative,0
trial-level,M5,INTERPRETED,positive,3
trial-level,M5,INTERPRETED,null,0
trial-level,M5,INTERPRETED,negative,0
trial-level,M5,NOT_LOCATED,,7
trial-level,M5,NOT_APPLICABLE,,0
trial-level,M5,UNRESOLVED,,0
trial-level,M5,ALL,,10
trial-level,M6,EXPLICIT,positive,2
