theory,theory_flag,dimension_id,dimension,code,justification,citation_label,citation_doi,invariance_based_YES
GNWT,,C1,Type of consciousness (content / state),YES,States predictions for content contrasts (ignition for consciously perceived versus unperceived stimuli) and for state contrasts (functional disconnection of frontal–parietal networks under general anaesthesia and in disorders of consciousness).,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,False
GNWT,,C2,Report / no-report paradigm,YES,"Conscious access is defined as global availability that can occur with or without overt behavioural report, and the preregistered protocol commits GNW to prefrontal decodability of conscious content for task-irrelevant (unreported) stimuli.",Melloni et al. 2023,10.1371/journal.pone.0268577,True
GNWT,,C3,Consciousness measure type (objective / subjective / condition assessment / none),YES,"Predicts a non-linear, all-or-none threshold in subjective visibility ratings for masked stimuli, coupled to late event-related components.","Del Cul, Baillet & Dehaene 2007",10.1371/journal.pbio.0050260,False
GNWT,,C4,Experimental paradigm (family / specific),YES,"Paradigm-specific predictions are stated: ignition for seen versus unseen stimuli in content paradigms, and loss of long-range functional connectivity under anaesthesia and in disorders of consciousness.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026,False
GNWT,,C5,Task type,YES,"The protocol states a task-indexed prediction: conscious content decodable from prefrontal cortex in both task-relevant and task-irrelevant conditions, with decoding generalising between them in the 300–500 ms window.",Melloni et al. 2023,10.1371/journal.pone.0268577,True
GNWT,,C6,Stimulus (modality / category / duration / contrast),IMPLICIT,"Predictions are stated identically for faces, objects, letters and false fonts; stimulus category enters only as the content to be decoded, not as a variable that changes the prediction.",Melloni et al. 2023,10.1371/journal.pone.0268577,False
GNWT,,C7,Sample / population type (healthy adults / patients / non-human / computer),YES,"Predicts that resting-state functional-connectivity variation present in awake participants vanishes under anaesthesia and in patients with disorders of consciousness, a differential prediction for patient populations.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026,False
GNWT,,C8,Neuroscientific technique,YES,Predictions are specified per technique in the preregistration: fMRI/iEEG decodability in prefrontal cortex and M-EEG long-range synchronisation.,Melloni et al. 2023,10.1371/journal.pone.0268577,False
GNWT,,C9,"Dependent measure / analysis type (incl. connectivity, complexity, PHI, cardiac tags)",YES,Predicts long-range information sharing (gamma/beta synchronisation) between prefrontal cortex and category-selective areas as the dependent measure of conscious perception.,Melloni et al. 2023,10.1371/journal.pone.0268577,False
GNWT,,C10,Temporal findings (component / time window),YES,"Predicts ignition around 200–300 ms after stimulus onset and content decodability from prefrontal cortex at ~300–500 ms, with transient onset and offset responses rather than sustained activity.",Melloni et al. 2023,10.1371/journal.pone.0268577,False
GNWT,,C11,Spatial findings (AAL3 label / lobe / stream),YES,"Predicts conscious content decodable from inferior frontal gyrus, middle frontal gyrus and cingulate cortex, and that the putative NCC includes prefrontal cortex.",Melloni et al. 2023,10.1371/journal.pone.0268577,False
GNWT,,C12,Frequency findings (delta–gamma bands),YES,Inter-areal information sharing is predicted to be measurable as gamma/beta synchronisation between prefrontal and category-selective regions.,Melloni et al. 2023,10.1371/journal.pone.0268577,False
IIT (3.0/4.0),,C1,Type of consciousness (content / state),YES,"States level predictions (a theory-driven index of the level of consciousness, PCI, for sleep, anaesthesia and brain injury) as well as content predictions for posterior cortex.",Casali et al. 2013,10.1126/scitranslmed.3006294,False
IIT (3.0/4.0),,C2,Report / no-report paradigm,YES,"Predicts that content-specific NCCs lie in posterior cortex independently of task relevance and report, with similar activity patterns for seen stimuli across go and no-go conditions.",Melloni et al. 2023,10.1371/journal.pone.0268577,True
IIT (3.0/4.0),,C3,Consciousness measure type (objective / subjective / condition assessment / none),YES,"Proposes an objective index of consciousness independent of the subject's ability to interact with the environment, i.e. a measure dissociable from behavioural report.",Casali et al. 2013,10.1126/scitranslmed.3006294,False
IIT (3.0/4.0),,C4,Experimental paradigm (family / specific),YES,"Predicts breakdown of cortical effective connectivity (failure of TMS-evoked activity to propagate) in NREM sleep, the state paradigm in which consciousness fades.",Massimini et al. 2005,10.1126/science.1117256,False
IIT (3.0/4.0),,C5,Task type,YES,The preregistration states a task-indexed prediction: posterior content-specific activity invariant across task-relevant and task-irrelevant conditions and across go/no-go tasks.,Melloni et al. 2023,10.1371/journal.pone.0268577,True
IIT (3.0/4.0),,C6,Stimulus (modality / category / duration / contrast),IMPLICIT,"Category-selective and lower-level visual areas are named as substrates, but no prediction depends on stimulus category, modality or duration beyond the sustained-activity claim.",Melloni et al. 2023,10.1371/journal.pone.0268577,False
IIT (3.0/4.0),,C7,Sample / population type (healthy adults / patients / non-human / computer),YES,"The postulates are stated to apply to any system of units in a state, yielding predictions for patients, non-human animals and artificial systems.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,False
IIT (3.0/4.0),,C8,Neuroscientific technique,YES,Predicts a technique-specific test: perturbation with TMS combined with high-density EEG to measure propagation of evoked activity.,Massimini et al. 2005,10.1126/science.1117256,False
IIT (3.0/4.0),,C9,"Dependent measure / analysis type (incl. connectivity, complexity, PHI, cardiac tags)",YES,Predicts an integration-plus-differentiation measure (perturbational complexity) as the dependent variable indexing consciousness.,Casali et al. 2013,10.1126/scitranslmed.3006294,False
IIT (3.0/4.0),,C10,Temporal findings (component / time window),YES,"Predicts sustained, content-specific activity in posterior cortex throughout the duration of the percept, in contrast to transient onset/offset responses.",Melloni et al. 2023,10.1371/journal.pone.0268577,False
IIT (3.0/4.0),,C11,Spatial findings (AAL3 label / lobe / stream),YES,Predicts that content-specific NCCs are found primarily in the posterior hot zone and that the putative NCC maps onto posterior areas.,Melloni et al. 2023,10.1371/journal.pone.0268577,False
IIT (3.0/4.0),,C12,Frequency findings (delta–gamma bands),IMPLICIT,Predicts synchronisation between category-selective and early visual areas but specifies no frequency band; the gamma/beta specification in the protocol is GNW's.,Melloni et al. 2023,10.1371/journal.pone.0268577,False
Recurrent processing (RPT),,C1,Type of consciousness (content / state),IMPLICIT,"Recurrent (feedback) processing in visual cortex is proposed as the correlate of visual awareness, a content claim; state contrasts such as sleep or anaesthesia are not addressed.","Fahrenfort, Scholte & Lamme 2007",10.1162/jocn.2007.19.9.1488,False
Recurrent processing (RPT),,C2,Report / no-report paradigm,YES,"Argues that introspection and behaviour mislead us about what we are conscious of, so presence of consciousness must be inferred from neural evidence rather than report.",Lamme 2010,10.1080/17588921003731586,False
Recurrent processing (RPT),,C3,Consciousness measure type (objective / subjective / condition assessment / none),YES,Proposes replacing report-based (objective or subjective) criteria with a neural criterion for consciousness.,Lamme 2010,10.1080/17588921003731586,False
Recurrent processing (RPT),,C4,Experimental paradigm (family / specific),YES,"Predicts that masking abolishes awareness by selectively interrupting reentrant processing, rather than by feedforward disruption.","Fahrenfort, Scholte & Lamme 2007",10.1162/jocn.2007.19.9.1488,False
Recurrent processing (RPT),,C5,Task type,IMPLICIT,"Detection tasks are used, but no prediction is indexed to task type.","Fahrenfort, Scholte & Lamme 2007",10.1162/jocn.2007.19.9.1488,False
Recurrent processing (RPT),,C6,Stimulus (modality / category / duration / contrast),IMPLICIT,"Texture-defined figure–ground stimuli are the paradigm case, but the prediction concerns feedback processing, not stimulus class.","Fahrenfort, Scholte & Lamme 2007",10.1162/jocn.2007.19.9.1488,False
Recurrent processing (RPT),,C7,Sample / population type (healthy adults / patients / non-human / computer),IMPLICIT,The feedforward/recurrent distinction is stated for the primate visual system generally; no population-specific prediction is formulated.,Lamme & Roelfsema 2000,10.1016/s0166-2236(00)01657-x,False
Recurrent processing (RPT),,C8,Neuroscientific technique,YES,Predicts EEG signatures of reentrant processing in human visual cortex that masking disrupts.,"Fahrenfort, Scholte & Lamme 2007",10.1162/jocn.2007.19.9.1488,False
Recurrent processing (RPT),,C9,"Dependent measure / analysis type (incl. connectivity, complexity, PHI, cardiac tags)",YES,Predicts late feedback-related modulation of early visual responses (the ConTraSt 'Recurrent Processing' tag) as the dependent measure.,Lamme & Roelfsema 2000,10.1016/s0166-2236(00)01657-x,False
Recurrent processing (RPT),,C10,Temporal findings (component / time window),YES,Distinguishes a fast feedforward sweep from later recurrent processing and ties awareness to the latter.,Lamme & Roelfsema 2000,10.1016/s0166-2236(00)01657-x,False
Recurrent processing (RPT),,C11,Spatial findings (AAL3 label / lobe / stream),YES,Localises the correlate to feedback from higher to lower visual areas within visual cortex rather than to frontal cortex.,"Fahrenfort, Scholte & Lamme 2007",10.1162/jocn.2007.19.9.1488,False
Recurrent processing (RPT),,C12,Frequency findings (delta–gamma bands),IMPLICIT,No frequency-band prediction is stated.,Lamme & Roelfsema 2000,10.1016/s0166-2236(00)01657-x,False
HOT / HOSS,,C1,Type of consciousness (content / state),IMPLICIT,A content-level account: conscious experiences regardless of content arise from one cortical system; state contrasts are not addressed.,LeDoux & Brown 2017,10.1073/pnas.1619316114,False
HOT / HOSS,,C2,Report / no-report paradigm,YES,"Awareness reports are modelled as metacognitive inference distinct from states covarying with perceptual content, a stated prediction that report-related and content-related states dissociate.",Fleming 2020,10.1093/nc/niz020,False
HOT / HOSS,,C3,Consciousness measure type (objective / subjective / condition assessment / none),YES,"Predicts dissociation between objective first-order performance and subjective awareness, quantified as metacognitive sensitivity (meta-d').",Maniscalco & Lau 2012,10.1016/j.concog.2011.09.021,False
HOT / HOSS,,C4,Experimental paradigm (family / specific),IMPLICIT,"Support is drawn from existing dissociation paradigms, but no paradigm is singled out by a stated prediction.",Lau & Rosenthal 2011,10.1016/j.tics.2011.05.009,False
HOT / HOSS,,C5,Task type,YES,Confidence-report tasks are predicted to index the higher-order state separately from first-order discrimination.,Maniscalco & Lau 2012,10.1016/j.concog.2011.09.021,False
HOT / HOSS,,C6,Stimulus (modality / category / duration / contrast),YES,"Explicitly predicts that emotional and non-emotional contents engage the same general cortical network, differing only in inputs, an invariance claim indexed to stimulus category.",LeDoux & Brown 2017,10.1073/pnas.1619316114,True
HOT / HOSS,,C7,Sample / population type (healthy adults / patients / non-human / computer),IMPLICIT,Predictions concern human metacognition; no differential prediction for patients or non-human animals is stated.,"Brown, Lau & LeDoux 2019",10.1016/j.tics.2019.06.009,False
HOT / HOSS,,C8,Neuroscientific technique,IMPLICIT,No technique-specific prediction.,"Brown, Lau & LeDoux 2019",10.1016/j.tics.2019.06.009,False
HOT / HOSS,,C9,"Dependent measure / analysis type (incl. connectivity, complexity, PHI, cardiac tags)",YES,Metacognitive sensitivity from confidence ratings is the theory's dependent measure.,Fleming & Lau 2014,10.3389/fnhum.2014.00443,False
HOT / HOSS,,C10,Temporal findings (component / time window),IMPLICIT,The higher-order state-space model accounts for 'global ignition' observations post hoc but states no timing prediction.,Fleming 2020,10.1093/nc/niz020,False
HOT / HOSS,,C11,Spatial findings (AAL3 label / lobe / stream),YES,"Predicts that a general cortical network, not subcortical circuits, is responsible for conscious experience including emotional feelings.",LeDoux & Brown 2017,10.1073/pnas.1619316114,False
HOT / HOSS,,C12,Frequency findings (delta–gamma bands),NO,No frequency-band prediction.,"Brown, Lau & LeDoux 2019",10.1016/j.tics.2019.06.009,False
AST,,C1,Type of consciousness (content / state),IMPLICIT,"Awareness is a model of attention, a content-level account; state contrasts are not addressed.",Webb & Graziano 2015,10.3389/fpsyg.2015.00500,False
AST,,C2,Report / no-report paradigm,IMPLICIT,Awareness is operationalised by report of awareness; no prediction is stated for no-report designs.,Webb et al. 2016,10.1073/pnas.1611505113,False
AST,,C3,Consciousness measure type (objective / subjective / condition assessment / none),YES,"Predicts that subjective awareness of a cue, rather than its objective attentional effect, determines endogenous attention control.",Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,False
AST,,C4,Experimental paradigm (family / specific),YES,"Predicts, in cueing paradigms, that without awareness of the cue exogenous attention persists while endogenous control is impaired.",Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,False
