publication_id,study_family_id,experiment_id,sample_id,citation_label,doi,year,experiment_label,participants_total,participants_in_analysis,samples_detail,paradigm,modality,affective_status,effector_type,content_class_v2,manipulation,measured_outcome,report_type,theory_attribution_by_authors,theory_attribution_later,later_attribution_evidence,later_attribution_detail,theory_attribution_coder,by_authors_named,later_named,later_context_read,theory_addressed,theory_addressed_strict,theory_addressed_incl_coder,contested_inclusion,contested_reason,ancillary_experiment,has_content_manipulation,legacy_content,legacy_theory_addressed,evidence_status,notes,unit_type
P01,F01,P01-E1,P01-E1-S1;P01-E1-S2;P01-E1-S3,Cogitate Consortium et al. 2025,10.1038/s41586-025-08888-1,2025,Experiment 1 of the preregistered protocol (three modality arms),256,234,"S1 fMRI: 120 tested, 108 analysed (12 excluded: motion, coverage, incomplete); S2 MEG: 102 tested, 97 analysed (5 excluded); S3 iEEG: 34 recruited, 32 implanted, 29 analysed","Suprathreshold viewing of faces/objects/letters/false fonts for 0.5/1.0/1.5 s, target detection; fMRI, MEG, iEEG",visual,neutral,,neutral-visual,"Stimulus category (face/object/letter/false font), orientation, duration, task relevance",Decoding of conscious content and duration; sustained activity; fronto-visual synchrony (preregistered predictions),both (task-relevant targets reported; task-irrelevant stimuli seen without report),"GNWT vs IIT — title; abstract; preregistered predictions (Methods, Supplementary)",,,not needed (attribution by authors),,True,False,False,True,True,True,False,,False,True,neutral-visual,GNWT vs IIT,full text read,,experiment
P03,F03,P03-E1,P03-E1-S1,"Del Cul, Baillet & Dehaene 2007",10.1371/journal.pbio.0050260,2007,Single experiment,12,12,12 participants; ERP seen/not-seen comparison at SOA 50 ms on a 9-participant subset with enough trials,Backward masking of digits at variable SOA; EEG,visual,neutral,,neutral-visual,Target–mask SOA (masking strength),"Subjective visibility, objective comparison accuracy, ERP components (nonlinear P3 transition)",report,"GNWT — Introduction and Fig. 1 (schematic predictions of the ""global neuronal workspace"" model)","GNWT: Mashour et al. 2020, doi:10.1016/j.neuron.2020.01.026 (cited as evidence for P300 ignition); PFT: Morsella et al. 2015, doi:10.1017/s0140525x15000643 (integration consensus)",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,neutral-visual,GNWT,full text read,,experiment
P04,F04,P04-E1,P04-E1-S1,Dehaene et al. 2001,10.1038/89551,2001,fMRI and ERP study of masked words (partition into experiments not verifiable from abstract),not stated in abstract,not stated in abstract,fMRI arm 15 (T scale 14 d.f.); ERP arm 12; behavioural visibility tests pooled over 27 (t26). Recruited total across the publication: 37. No exclusions reported.,"Masked vs unmasked word presentation, repetition priming; fMRI and ERP",visual,neutral,,neutral-visual,"Masking of words (masked vs visible words, each against matched blanks); seen vs unseen at identical word content","fMRI activation (masked words vs masked blanks; visible vs masked interaction); ERP time course; behavioural detection, naming, recognition and forced-choice",report (detection/naming tests before and after imaging; forced-choice; no trial-wise report during imaging),"GNWT (by citation only: Discussion cites refs 35 = Dehaene & Naccache 2001 'workspace framework' and 45 = Dehaene, Kerszberg & Changeux 1998 'global workspace' as the theories the result is consistent with; the label 'workspace' does not appear in the body text). First coder to decide whether citation-naming meets I2; otherwise 'none named'.","GNWT: Dehaene & Changeux 2011, doi:10.1016/j.neuron.2011.03.018; Dehaene et al. 2006, doi:10.1016/j.tics.2006.03.007; HOSS: Fleming 2020, doi:10.1093/nc/niz020; Boly et al. 2017 Fig. 1F (report-based fronto-parietal contrast; theory not named at locus)",REFLIST;CONTEXT_UNNAMED,"reference list only (OpenAlex) except Boly et al. 2017 (context read, theory not named)",GNWT (authors are GNWT proponents; reduced prefrontal/parietal activation for unseen words is the GNWT signature) — coder inference,none,True,False,True,False,True,False,,False,True,neutral-visual,GNWT,full text read,"25 Sep 2026 full-text reading: Partition change: publication reports Experiment 1 (masked vs unmasked words; fMRI and ERP arms of the same design → one experiment, two sample_ids per U2) and Experiment 2 (masked repetition priming;",experiment
P04,F04,P04-E2,P04-S2,Dehaene et al. 2001,10.1038/89551,2001,experiment (Experiment 2; fMRI),,10,"10 (T scale 9 d.f.; t9 in forced-choice test); 3 men, 7 women","Masked vs unmasked word presentation, repetition priming; fMRI and ERP",visual,neutral,,neutral-visual,Masked prime × visible target: prime–target repetition (same/different word) × case change; primes masked throughout (no seen/unseen contrast),fMRI repetition suppression (case-independent in left fusiform; case-specific in right extrastriate); response times; forced-choice prime identification at chance,report (post-imaging two-alternative forced-choice on the primes; subjective denial of seeing primes),as P04-E1 (Discussion is shared; the citation-only GNWT sentence concerns the visible vs masked contrast of Experiment 1 rather than Experiment 2),"GNWT: Dehaene & Changeux 2011, doi:10.1016/j.neuron.2011.03.018; Dehaene et al. 2006, doi:10.1016/j.tics.2006.03.007; HOSS: Fleming 2020, doi:10.1093/nc/niz020; Boly et al. 2017 Fig. 1F (report-based fronto-parietal contrast; theory not named at locus)",REFLIST;CONTEXT_UNNAMED,"reference list only (OpenAlex) except Boly et al. 2017 (context read, theory not named)",GNWT (authors are GNWT proponents; reduced prefrontal/parietal activation for unseen words is the GNWT signature) — coder inference,none,True,False,True,False,True,True,"Access held below threshold throughout: masked primes with no seen/unseen contrast (I1 contested category); the analysed contrast is repetition priming, not awareness",False,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row. Its own sample (n=10) and own analysed contrast (repetition suppression).,experiment
P06,F06,P06-E1,P06-E1-S1,Salti et al. 2015,10.7554/elife.05652,2015,Single experiment,17,12,"5 excluded for calibration failure; 12 analysed, one without EEG",Threshold detection of a faint square with location report; EEG/MEG decoding,visual,neutral,,neutral-visual,Near-threshold contrast; seen vs unseen at matched behaviour (blindsight trials),MVPA decoding of location on seen vs unseen trials; timing of divergence,report,"GNWT — Introduction (""The Global Neuronal Workspace (GNW) model asserts…"")","GNWT: Mashour et al. 2020, doi:10.1016/j.neuron.2020.01.026 (decodable ignition)",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,neutral-visual,GNWT,full text read,,experiment
P07,F07,P07-E1,P07-E1-S1,"Sergent, Baillet & Dehaene 2005",10.1038/nn1549,2005,Single ERP experiment (single experiment confirmed from full text),not stated in abstract,16,16 recruited and analysed in the main seen/unseen ERP analyses; 13 in the four-category visibility analysis (3 discarded for <6% of trials in a category),Attentional blink with visibility ratings; ERP,visual,neutral,,neutral-visual,"Attentional blink (dual vs single task; short vs long T1–T2 SOA); T2 seen vs unseen at identical stimulation, trial-wise","Continuous visibility ratings (bimodal distribution); ERP time course for seen vs unseen T2 (divergence from ~270 ms; N2, N3, N4, P3a, P3b); source model",report (trial-wise continuous subjective visibility scale for T2),"GNWT — named as the framework the result bears on ('global neuronal workspace' model, refs 10, 11)","GNWT: Mashour et al. 2020, doi:10.1016/j.neuron.2020.01.026 (early processing preserved on unseen trials); Dehaene & Changeux 2011; Dehaene et al. 2006; RPT: Lamme 2010, doi:10.1080/17588921003731586",CONTEXT_NAMED;REFLIST,Mashour 2020 context read; others reference list only,,GNWT,True,True,True,True,True,False,,False,True,neutral-visual,GNWT,full text read,"25 Sep 2026 full-text reading: No partition change. Attribution changes from ""not verifiable from abstract"" to GNWT named by the authors in the Discussion.",experiment
P08,F08,P08-E1,P08-E1-S1,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,Main experiment (active and passive sessions),25,20,"25 recruited, 2 discontinued, 3 excluded; 20 analysed",Near-threshold vowels in noise; active (report) and passive (no-report) sessions; EEG,auditory,neutral,,neutral-nonvisual,Signal-to-noise ratio around audibility threshold; report vs no report,Bifurcation in late EEG activity; prediction of audibility reports and of randomly sampled conscious contents,both,"GNWT — abstract/Discussion: tests and updates ""predictions of the global neuronal workspace model""","Melloni et al. 2023 protocol, doi:10.1371/journal.pone.0268577 (reference list)",,reference list only,,True,False,False,True,True,True,False,,False,True,neutral-nonvisual,GNWT,full text read,,experiment
P08,F08,P08-E2,P08-E2-S1,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,Control experiment 1: passive session only (naïve participants),10,10,,Near-threshold vowels in noise; active (report) and passive (no-report) sessions; EEG,auditory,neutral,,neutral-nonvisual,Signal-to-noise ratio around audibility threshold; report vs no report,Bifurcation in late EEG activity; prediction of audibility reports and of randomly sampled conscious contents,no-report,"GNWT — same framing as main experiment (Methods, ""Control experiment 1"")",,,,,True,False,False,True,True,True,False,,True,True,neutral-nonvisual,GNWT,full text read,,experiment
P08,F08,P08-E3,P08-E3-S1,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,Control experiment 2: vowels replaced by simple tones,5,5,,Near-threshold vowels in noise; active (report) and passive (no-report) sessions; EEG,auditory,neutral,,neutral-nonvisual,Signal-to-noise ratio around audibility threshold; report vs no report,Bifurcation in late EEG activity; prediction of audibility reports and of randomly sampled conscious contents,not verified (design of control 2 not fully read),"GNWT — same framing as main experiment (Methods, ""Control experiment 2"")",,,,,True,False,False,True,True,True,False,,True,True,neutral-nonvisual,GNWT,full text read,,experiment
P09,F09,P09-E1,P09-E1-S1,"Lumer, Friston & Rees 1998",10.1126/science.280.5371.1930,1998,Single fMRI experiment (single experiment confirmed from full text),not stated in abstract,6,6 analysed (of 10 scanned; 4 excluded for short mean dominance times),Binocular rivalry (face vs grating) vs replay; fMRI,visual,neutral,,neutral-visual,Binocular rivalry (face vs grating) vs non-rivalrous replay of the same perceptual alternations; transition events time-locked to key-press reports,"fMRI transient activity time-locked to perceptual transitions; rivalry > replay in right frontoparietal (inferior/superior parietal, inferior frontal, insula/frontal operculum) and early visual cortex; dominance-phase durations",report (key presses signalling perceptual alternations),"none named (the Discussion asserts a distributed frontoparietal system mediating perceptual switches and ""the role of frontoparietal areas in conscious perception""; no coded theory is named or cited as the framework; the searched sections — Introduction, Results, Discussion, Notes — contain no theory label)","GNWT: Dehaene & Naccache 2001, doi:10.1016/s0010-0277(00)00123-2 (reference list); Boly et al. 2017 Fig. 1E (report-based fronto-parietal contrast; theory not named at locus)",REFLIST;CONTEXT_UNNAMED,"reference list only / Boly 2017 context read, theory not named","GNWT (frontoparietal correlates of perceptual switching) — coder inference; legacy also listed RPT, for which no source was located",none,True,False,True,False,True,False,,False,True,neutral-visual,GNWT/RPT,full text read,"25 Sep 2026 full-text reading: No partition change. The .txt is an OCR of the Science scan and contains fragments of adjacent articles (tadpole and crystallography notes); these were ignored. N changes from ""not stated"" to 10 scann",experiment
