pair_id,pred_a,pred_b,theory_a,theory_b,domain_id,shared_condition,shared_outcome,relation,distinguishing_feature,what_result_would_favour_a,what_result_would_favour_b,exclusivity_stated,cogitate_operationalised,pair_confidence,pair_confidence_rationale,in_old_distinguishable_from,s4_row_confidence_a,s4_row_confidence_b,coder
M8-P01-P04,P01,P04,GNWT,IIT,M8,"Cogitate Experiment 1: suprathreshold visual stimuli (faces, objects, letters, false fonts), task-relevant and task-irrelevant, 0.5/1.0/1.5 s","region-wise decodability of conscious content (category, identity, orientation) from iEEG/MEG/fMRI after onset (Cogitate analysis #1)",jointly compatible,locus,content decodable from PFC for task-relevant and task-irrelevant stimuli (a passes on its own criterion); PFC absence challenges a but does not confirm b,content decodable from the posterior hot zone throughout the percept (b passes on its own criterion); posterior absence challenges b but does not confirm a,"yes: P04 (IIT): denial of PFC necessity only - ""PFC decodability not required"" (distribution_prediction); no exclusivity of posterior stated","yes: Melloni et al. 2023 prediction 2 / analysis #1 - decoding of category, identity and orientation from PFC (GNWT) and from posterior cortex sustained over duration (IIT), each with its own pass criterion",3,"Same experiment and same decoding analysis, but 'PFC decodable' and 'posterior decodable, PFC not required' can both hold; S4 notes state 'P01 and P04 can both be true; they oppose only on which locus is necessary for access', and necessity is not an observable of this design.",yes,2,2,"first coder, reading assistant"
M8-P01-P05,P01,P05,GNWT,IIT,M8,"Cogitate Experiment 1: suprathreshold visual stimuli (faces, objects, letters, false fonts), task-relevant and task-irrelevant, 0.5/1.0/1.5 s",,different,locus,"content (category/identity/orientation) decodable from PFC after onset, for task-irrelevant stimuli as well (bears on P01 only; does not bear on P05)","posterior content-specific activation tracks stimulus duration (0.5/1.0/1.5 s), no separate offset event (bears on P05 only; does not bear on P01)",no: neither S4 row states exclusivity or necessity,no: both predictions were tested in Cogitate 2025 (Experiment 1) but against separate criteria; the pair was not operationalised as one test,2,"P01 speaks to PFC decodability after onset, P05 to the temporal profile of posterior activation; different loci and different measures, so neither prediction assigns a value to the other's observable.",no,2,1,"first coder, reading assistant"
M8-P01-P06,P01,P06,GNWT,IIT,M8,"Cogitate Experiment 1: suprathreshold visual stimuli (faces, objects, letters, false fonts), task-relevant and task-irrelevant, 0.5/1.0/1.5 s",,different,connectivity,"content (category/identity/orientation) decodable from PFC after onset, for task-irrelevant stimuli as well (bears on P01 only; does not bear on P06)",sustained content-specific synchrony within posterior cortex (category-selective areas <-> V1/V2) (bears on P06 only; does not bear on P01),no: neither S4 row states exclusivity or necessity,no: both predictions were tested in Cogitate 2025 (Experiment 1) but against separate criteria; the pair was not operationalised as one test,2,PFC decoding (P01) vs within-posterior synchrony (P06): different measure and different locus; no shared observable.,no,2,3,"first coder, reading assistant"
M8-P01-P08,P01,P08,GNWT,RPT,M8,consciously seen visual stimuli without report / task relevance (P01 suprathreshold task-irrelevant; P08 near-threshold no-report - overlap approximate),prefrontal content-specific activity for consciously seen but unreported stimuli (P01: decodable in PFC for task-irrelevant stimuli; P08: frontal ignition 'not necessary'),jointly compatible,locus,PFC content decoding present for task-irrelevant seen stimuli (a holds); absence would challenge a and is consistent with b but not predicted by it,"VAN/local recurrence at ~100-300 ms in visual cortex present for seen, absent for unseen, independent of report (b holds)","yes: P08 (RPT): ""local recurrence is necessary and sufficient for phenomenal content; frontal ignition is not necessary"" (expected_result)",no,2,"P08 states frontal ignition is 'not necessary', which does not predict PFC absence, so PFC decodability (P01) and local recurrence (P08) can both hold; the pair would become discriminating only under a report-independent measure of phenomenal content (P08 auxiliary: phenomenal content without access), which S4 does not provide.",yes,2,2,"first coder, reading assistant"
M8-P01-P09,P01,P09,GNWT,HOT,M8,,,different,condition,"content (category/identity/orientation) decodable from PFC after onset, for task-irrelevant stimuli as well (bears on P01 only; does not bear on P09)",dlPFC disruption reduces subjective awareness / meta-d' while d' is intact (bears on P09 only; does not bear on P01),"yes: P09 (HOT): necessity of dlPFC - ""PFC disruption reduces awareness or meta-d' while d' is intact"" (relation: locus; necessity)",no,2,Correlational PFC content decoding in suprathreshold viewing (P01) vs causal dlPFC disruption and metacognitive sensitivity at matched d' (P09): different conditions and measures; both PFC-positive.,no,2,2,"first coder, reading assistant"
M8-P01-P12,P01,P12,GNWT,AST,M8,,,different,locus,"content (category/identity/orientation) decodable from PFC after onset, for task-irrelevant stimuli as well (bears on P01 only; does not bear on P12)",bilateral TPJ activity during awareness attribution; TPJ disruption produces neglect-like detection loss; attention control without awareness possible but impaired (bears on P12 only; does not bear on P01),"yes: P12 (AST): necessity of TPJ for awareness attribution - ""causal disruption impairs awareness attributions"" (expected_result)",no,2,"PFC content decoding during passive suprathreshold viewing (P01) vs TPJ activity/disruption in attention-control tasks (P12): different conditions and measures; AST's attention-control network is not stated to exclude PFC, and GNWT does not exclude TPJ. Locus difference alone gives no shared observable.",yes,2,2,"first coder, reading assistant"
M8-P01-P29,P01,P29,GNWT,HOSS,M8,,,different,condition,"content (category/identity/orientation) decodable from PFC after onset, for task-irrelevant stimuli as well (bears on P01 only; does not bear on P29)",frontoparietal ignition for presence reports but not absence reports; PFC decodes presence and absence symmetrically (bears on P29 only; does not bear on P01),no: neither S4 row states exclusivity or necessity,no,2,"PFC decoding of stimulus content (P01, suprathreshold) vs PFC decoding of the awareness state presence/absence (P29, near-threshold): different decoded variables and conditions; S4 does not state whether GNWT predicts symmetric PFC coding of absence. S4 insufficient.",no,2,1,"first coder, reading assistant"
M8-P01-P31,P01,P31,GNWT,IIT,M8,,,different,condition,"content (category/identity/orientation) decodable from PFC after onset, for task-irrelevant stimuli as well (bears on P01 only; does not bear on P31)",higher pre-stimulus posterior excitability or posterior-V1/V2 synchrony -> higher probability of detection (bears on P31 only; does not bear on P01),no: neither S4 row states exclusivity or necessity,no,2,"Post-onset PFC decoding of suprathreshold content (Exp 1) vs pre-stimulus posterior excitability and detection of near-threshold stimuli (Exp 2): no shared condition, no shared observable.",no,2,3,"first coder, reading assistant"
M8-P02-P04,P02,P04,GNWT,IIT,M8,"Cogitate Experiment 1: suprathreshold visual stimuli (faces, objects, letters, false fonts), task-relevant and task-irrelevant, 0.5/1.0/1.5 s",,different,locus,"a second, offset-locked PFC ignition (~0.3-0.5 s after offset) with an activity-silent interval between onset and offset bursts (bears on P02 only; does not bear on P04)",content decodable from the posterior hot zone throughout the percept (bears on P04 only; does not bear on P02),"yes: P04 (IIT): denial of PFC necessity only - ""PFC decodability not required"" (distribution_prediction); no exclusivity of posterior stated",no: both predictions were tested in Cogitate 2025 (Experiment 1) but against separate criteria; the pair was not operationalised as one test,2,P02 assigns a time course to PFC ignition; P04 assigns decodability and a time course to posterior cortex. Different loci; P04's 'PFC decodability not required' says nothing about PFC timing. No shared observable.,no,3,2,"first coder, reading assistant"
M8-P02-P05,P02,P05,GNWT,IIT,M8,"Cogitate Experiment 1: suprathreshold visual stimuli (faces, objects, letters, false fonts), task-relevant and task-irrelevant, 0.5/1.0/1.5 s",time course of the content-specific neural response relative to stimulus onset and offset; presence of a distinct offset-locked burst; temporal generalisation between onset and offset windows (Cogitate analysis #2),discriminating,timing,a content-specific burst locked to stimulus offset with temporal generalisation between onset and offset bursts and minimal activity in between,"content-specific activation that persists for 0.5/1.0/1.5 s tracking duration, with temporal generalisation across the whole window and no separate offset event",no: neither S4 row states exclusivity or necessity,yes: Melloni et al. 2023 prediction 3 / analysis #2 (temporal dynamics) - offset ignition in PFC (GNWT) vs sustained posterior activation tracking duration with no offset event (IIT),2,"The combination 'sustained activity tracking duration and no separate offset event' is predicted by P05 (timing_prediction) and excluded by P02 (which requires an offset ignition); caveat: P02 names PFC and P05 posterior cortex, so a PFC-phasic/posterior-sustained outcome would satisfy both - hence confidence 2, not 3.",yes,3,1,"first coder, reading assistant"
