item,source,doi,evidence_status,access_route,claim_supported,usable_sentence,note
0,Maniscalco & Lau 2012,10.1016/j.concog.2011.09.021,accepted_prior_verification,prior reviewer,yes,meta-d' estimation; 30 participants (Methods).,DOI recorded only
0,"Bor, Schwartzman, Barrett & Seth 2017",10.1371/journal.pone.0171793,accepted_prior_verification,prior reviewer,yes,Bor et al. did not replicate the Rounis et al. (2010) metacognitive impairment with a modified design.,DOI recorded only; not yet in manuscript reference list
0,"Huber, Payne & Puto 1982",10.1086/208899,accepted_prior_verification,prior reviewer,yes,Asymmetrically dominated decoys shift choice shares; the paper says nothing about consciousness.,DOI recorded only; not yet in manuscript reference list
1,"Ruby, Maniscalco & Peters 2018",10.1016/j.concog.2018.04.009,full_text,PMC,yes,Ruby et al. argued that Bor et al.'s pre-exclusion data and a Bayesian re-analysis (posterior 0.7542 with a 0.5 prior) favour a TMS-induced metacognitive impairment.,dispute open
1,"Bor, Barrett, Schwartzman & Seth 2018",10.1016/j.concog.2018.07.011,full_text,PMC,yes,Bor et al. replied that the prior of the re-analysis rests on data they consider invalid and that the evidence so far does not demonstrate that theta-burst TMS to PFC disrupts visual metacognition.,preprint 10.31234/osf.io/rhvtq; dispute open
2,"Hall, Johansson & Strandberg 2012",10.1371/journal.pone.0045457,full_text,publisher PDF,partly,"Most reversals of participants' own moral ratings went undetected and about half of participants argued for the opposite position moments later; the study measured immediate acceptance and justification, not durability.",manuscript word 'durably' not supported
3,"Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS) §2.4 + authors' response",10.1017/S0140525X15000643,full_text,publisher PDF,yes (exclusion of autonomic conflict from the field's function); no (denial of bodily feelings),"Passive frame theory holds the conscious field unnecessary for smooth-muscle integrations (peristalsis, pupillary reflex) and necessary for integrating multiple inclinations toward the skeletomotor output system; its authors declined to extend it to the autonomic nervous system.",target article names tooth pain and urges among basic conscious contents
4,Melloni et al. 2023 (protocol),10.1371/journal.pone.0268577,full_text,publisher PDF,yes,"Five preregistered divergent predictions on location, decoding, temporal dynamics, pre-stimulus activity and connectivity of the NCC (PFC/ignition/long-range for GNWT; posterior hot zone/sustained/short-range for IIT).",
4,Cogitate Consortium 2025 (Nature),10.1038/s41586-025-08888-1,full_text,PMC,yes,"IIT passed the duration prediction and failed sustained posterior synchrony; GNWT showed PFC category decoding (about 70%, 0.2-0.4 s) but no offset ignition and no identity information in PFC; neither theory was adjudicated over the other.","basis for M8 shared at quantity level, contested at locus/timing/connectivity"
5,Seth 2013 (TICS),10.1016/j.tics.2013.09.007,full_text,"author manuscript, Sussex repository (page numbers differ from print)",no (P24 not stated); partly (mechanism),Subjective feeling states arise from actively inferred models of the causes of interoceptive afferents; interoceptive predictions enslave autonomic reflexes.,no statement on autonomic-only conflict; 'conflict' occurs only for prediction/multisensory conflict
