theory_id,theory,row_class,origin,domain_id,domain,code,polarity,relation,claim_text,source_label,source_doi,source_locus,evidence_status,confidence,provisional,flag_for_adjudication,adjudication_reason
AST,AST,trial-level,submitted-v1,M1,number of simultaneously competing action policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of conscious access or experience on the number of simultaneously competing action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Webb & Graziano 2015,10.3389/fpsyg.2015.00500,"Sections on attention schema, internal awareness, and neural implementation",full-text,2,False,False,
AST,AST,trial-level,submitted-v1,M2,incompatibility of the competing policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of access or experience on incompatibility between concurrently active action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Webb & Graziano 2015,10.3389/fpsyg.2015.00500,"Sections on attention schema, internal awareness, and neural implementation",full-text,2,False,False,
AST,AST,trial-level,submitted-v1,M3,valence,INTERPRETED,positive,modulation,"The attention schema models attention to internal states, including emotions. Inferring that affective salience changes awareness through its effect on attention supplies a valence–access bridge that is not itself stated as a valence prediction.",Webb & Graziano 2015,10.3389/fpsyg.2015.00500,"Internal versus external awareness, paragraphs discussing emotions (local paras. 71–75)",full-text,1,False,True,Emotional salience and valence are not interchangeable; adjudicate the inferential bridge.
AST,AST,trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,NOT_LOCATED,,,"I searched the cited available formulation for a measurable relationship between access and cortical–autonomic coupling across channels. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Webb & Graziano 2015,10.3389/fpsyg.2015.00500,"Sections on attention schema, internal awareness, and neural implementation",full-text,2,False,False,
AST,AST,trial-level,submitted-v1,M6,dimensionality of phenomenal structure,NOT_LOCATED,,,"I searched the cited available formulation for a quantified number of independent phenomenal dimensions or distinguishable experiential states. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Webb & Graziano 2015,10.3389/fpsyg.2015.00500,"Sections on attention schema, internal awareness, and neural implementation",full-text,2,False,False,
AST,AST,trial-level,submitted-v1,M7,metacognitive sensitivity,INTERPRETED,positive,effect,Awareness reports depend on the content of a schematic self-model of attention. Inferring that degradation or misalignment of that model changes reported awareness extends the mechanism to metarepresentational reliability; there is no meta-d-prime prediction.,Webb & Graziano 2015,10.3389/fpsyg.2015.00500,Attention schema accuracy and dissociation of attention from awareness,full-text,1,False,True,Schema completeness and metacognitive precision may be distinct quantities.
AST,AST,trial-level,submitted-v1,M8,cortical signature of access,EXPLICIT,positive,marker,"The cortical regions used to attribute awareness to others, especially temporoparietal junction, are also implicated in own visual awareness; perturbing a selected site changes visual detection. This is a localized involvement claim, not a claim that TPJ alone suffices.",Kelly et al. 2014,10.1073/pnas.1401201111,Results: TMS manipulation of own visual awareness; Discussion,full-text,3,False,False,
AST,AST,trial-level,added-in-revision,M4a,access to interoceptive content as content,INTERPRETED,positive,constitution,"The same schema is proposed for attention to internal and external contents. Applying it to attended visceral sensations would yield bodily awareness, but named visceral afferents are not specified in this passage.",Webb & Graziano 2015,10.3389/fpsyg.2015.00500,Internal versus external awareness (local paras. 71–75),full-text,1,False,True,General internal attention is extended to visceral content; no direct interoceptive statement located.
AST,AST,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,NOT_LOCATED,,,"I searched the cited available formulation for visceral state or phase modulating access to external sensory content. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Webb & Graziano 2015,10.3389/fpsyg.2015.00500,"Sections on attention schema, internal awareness, and neural implementation",full-text,2,False,False,
AST,AST,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,NOT_LOCATED,,,"I searched the cited available formulation for a defined autonomic conflict with skeletal action plans expressly excluded. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Webb & Graziano 2015,10.3389/fpsyg.2015.00500,"Sections on attention schema, internal awareness, and neural implementation",full-text,2,False,False,
