theory_id,domain_id,origin_cell,severity,code_coder1,polarity_coder1,code_coder2,polarity_coder2,justification_coder1,justification_coder2,source_coder1,doi_coder1,locus_coder1,source_coder2,doi_coder2,locus_coder2,adjudicated_code,adjudicated_polarity,adjudication_note
HOT,M7,submitted-v1,2,EXPLICIT,positive,NOT_LOCATED,,,,Maniscalco & Lau 2012; Lau & Rosenthal 2011,10.1016/j.concog.2011.09.021; 10.1016/j.tics.2011.05.009,"Maniscalco & Lau 2012 abstract (meta-d prime as measure of metacognitive sensitivity); Lau & Rosenthal 2011 abstract (higher-order representations as the basis of awareness); Brown, Lau & LeDoux 2019 abstract (consciousness not equated with metacognition or confidence)",LeDoux & Brown 2017,10.1073/pnas.1619316114,Higher-order representation and HOROR; review of perceptual/emotional consciousness,,,
PP,M7,submitted-v1,2,EXPLICIT,positive,NOT_LOCATED,,,,Garfinkel et al. 2015; Seth & Friston 2016,10.1016/j.biopsycho.2014.11.004; 10.1098/rstb.2016.0007,"abstract (three dissociable dimensions: accuracy, sensibility, metacognitive awareness); Seth & Friston 2016 Section 2 (precision as the key control parameter)",Hohwy & Seth 2020,10.33735/phimisci.2020.ii.64,"Sections 6–8, especially pp. 19–23",,,
PFT,M1,added-in-revision,1,INTERPRETED,stated_null,INTERPRETED,positive,polarity 'null' restored from claim_text during integration (was blank),,"Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1017/s0140525x15000643,Section 4.3 (the field as a frame) and Section 2.5; endnote 8 (p. 16),"Morsella et al. 2015/2016, target article",10.1017/s0140525x15000643,Integration of efference streams; PRISM (local paras. 463–467),,,
SIT,M1,submitted-v1,1,EXPLICIT,positive,INTERPRETED,positive,,,"Morsella 2005; Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1037/0033-295x.112.4.1000; 10.1017/s0140525x15000643,"abstract (PRISM: supramodular systems ""may conflict with skeletal muscle plans""; phenomenal states permit their interaction); Morsella et al. 2016 BBS Section 2.4 (p. 5)","Morsella, Gray, Krieger & Bargh 2009",10.1037/a0017121,PRISM; Studies 1–2 rationale,,,
GNWT,M2,submitted-v1,1,NOT_LOCATED,,INTERPRETED,positive,,,Dehaene et al. 2006,10.1016/j.tics.2006.03.007,abstract (taxonomy over stimulus strength and attention),Mashour et al. 2020,10.1016/j.neuron.2020.01.026,"GNW model applied to Stroop, local para. 41",,,
PFT,M2,added-in-revision,1,INTERPRETED,stated_null,EXPLICIT,positive,polarity 'null' restored from claim_text during integration (was blank),,"Heredia Cedillo, Lambert & Morsella 2024; Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.3390/bs14040337; 10.1017/s0140525x15000643,abstract; Morsella et al. 2016 BBS Sections 4.2-4.3,"Morsella et al. 2015/2016, target article",10.1017/s0140525x15000643,Response interference and incompatible skeletal intentions; continuous influence discussion,,,
AST,M3,submitted-v1,1,NOT_LOCATED,,INTERPRETED,positive,,,Webb & Graziano 2015,10.3389/fpsyg.2015.00500,whole text (sections on the attention schema and internal models),Webb & Graziano 2015,10.3389/fpsyg.2015.00500,"Internal versus external awareness, paragraphs discussing emotions (local paras. 71–75)",,,
GNWT,M3,submitted-v1,1,INTERPRETED,stated_null,NOT_LOCATED,,polarity 'null' restored from claim_text during integration (was blank),,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,abstract (content-neutral broadcast),Mashour et al. 2020,10.1016/j.neuron.2020.01.026,GNW model; signatures; self-monitoring discussion,,,
HOT,M3,submitted-v1,1,INTERPRETED,stated_null,EXPLICIT,positive,polarity 'null' restored from claim_text during integration (was blank),,LeDoux & Brown 2017,10.1073/pnas.1619316114,abstract (emotional and non-emotional experiences arise from one cortical system; inputs differ),LeDoux & Brown 2017,10.1073/pnas.1619316114,"Emotional consciousness and HOROR; local paras. 37–39, 105–106",,,
IIT,M3,submitted-v1,1,NOT_LOCATED,,UNRESOLVED,,,,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,p. 4 (candidate properties that are not essential: affect listed; experiences lacking them held conceivable and achievable),Albantakis et al. 2023,10.1371/journal.pcbi.1011465,"Axioms and their completeness, local paras. 46, 61",,,
PFT,M3,added-in-revision,1,INTERPRETED,stated_null,INTERPRETED,positive,polarity 'null' restored from claim_text during integration (was blank),,"Morsella, Godwin & Jantz 2016 (BBS reply)",10.1017/s0140525x15002812,abstract (reply to commentators),"Morsella et al. 2015/2016, target article",10.1017/s0140525x15000643,"Motivational contents and action integration, local para. 514",,,
SIT,M3,submitted-v1,1,INTERPRETED,stated_null,INTERPRETED,positive,polarity 'null' restored from claim_text during integration (was blank),,"Morsella, Gray, Krieger & Bargh 2009",10.1037/a0017121,abstract and Discussion (conflict linked to affect and failures of self-control),"Morsella, Gray, Krieger & Bargh 2009",10.1037/a0017121,"General Discussion on conflict-related negative valence, local paras. 98–99",,,
AST,M4a,added-in-revision,1,NOT_LOCATED,,INTERPRETED,positive,,,Webb & Graziano 2015,10.3389/fpsyg.2015.00500,no statement located,Webb & Graziano 2015,10.3389/fpsyg.2015.00500,Internal versus external awareness (local paras. 71–75),,,
GNWT,M4a,added-in-revision,1,NOT_LOCATED,,INTERPRETED,positive,,,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,no statement located,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,"Self-monitoring and internal contents, local paras. 124–129",,,
HOSS,M4a,added-in-revision,1,NOT_LOCATED,,INTERPRETED,positive,,,Fleming 2020,10.1093/nc/niz020,whole text searched: no statement on interoceptive content as content (only Section 6 on interoceptive input as a precision cue),Fleming 2020,10.1093/nc/niz020,"Expected precision and awareness, local paras. 45–47",,,
NSF,M4a,added-in-revision,1,INTERPRETED,stated_null,EXPLICIT,positive,"monitoring, not experience of the heartbeat (user note) | polarity 'null' restored from claim_text during integration (was blank)",,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,"abstract (""a low-level building block of subjective experience which is not explicitly experienced by itself"")",Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,"Heartbeat perception versus neural responses without heartbeat awareness, local paras. 62–66",,,
PFT,M4a,added-in-revision,1,INTERPRETED,positive,EXPLICIT,positive,,,"Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1017/s0140525x15000643,"Section 1.1 (p. 2: basic consciousness includes tooth pain, urges to scratch); Section 3.2 (p. 8: ""conscious contents about the world and the body can be construed as action options"")","Morsella et al. 2015/2016, target article",10.1017/s0140525x15000643,Bodily afference and motivational constraints; skeletal muscle account,,,
SIT,M4a,added-in-revision,1,INTERPRETED,positive,EXPLICIT,positive,,,"Morsella 2005; Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1037/0033-295x.112.4.1000; 10.1017/s0140525x15000643,"abstract (supramodular systems ""defined by their concerns (e.g., instrumental action vs. certain bodily needs)""); Morsella et al. 2016 BBS Section 3 (p. 6: the creature is conscious of ""the urge to eat"")","Morsella, Gray, Krieger & Bargh 2009",10.1037/a0017121,"Introduction, primary versus secondary subjective effects, local para. 46",,,
HOSS,M4b,added-in-revision,1,NOT_LOCATED,,INTERPRETED,positive,,,Fleming 2020,10.1093/nc/niz020,"Section 6 Role of precision estimation (""Another source of information about sensory precision is proprioceptive and interoceptive input about bodily states"")",Fleming 2020,10.1093/nc/niz020,"Expected precision and awareness, local paras. 45–47",,,
HOT,M4b,added-in-revision,1,NOT_LOCATED,,INTERPRETED,positive,,,Lau & Rosenthal 2011,10.1016/j.tics.2011.05.009,no statement located,LeDoux & Brown 2017,10.1073/pnas.1619316114,"HOROR, arousal and feedback, local para. 113",,,
HOT,M4c,added-in-revision,1,INTERPRETED,positive,NOT_LOCATED,,,,LeDoux & Brown 2017,10.1073/pnas.1619316114,"abstract (subcortical circuits ""provide nonconscious inputs that coalesce with other kinds of neural signals in the cognitive assembly of conscious emotional experiences"")",LeDoux & Brown 2017,10.1073/pnas.1619316114,Higher-order theory; emotional consciousness; HOROR; conclusions,,,
PP,M4c,added-in-revision,1,INTERPRETED,positive,NOT_LOCATED,,"mechanism stated, condition not named — first cell for adjudication (user note)",,Seth & Friston 2016; Seth 2016 (BBS commentary e196),10.1098/rstb.2016.0007; 10.1017/s0140525x15002265,"Section 3 (autonomic reflexes enslaved by descending interoceptive predictions; interoceptive prediction error drives sympathetic/parasympathetic effectors); Section 5 key prediction (iii) (""emotional or affective contents depend primarily on interoceptive predictions rather than prediction errors""); Seth 2016 BBS commentary e196 (""internal actions make strong contributions to (affective) conscious contents"")",Hohwy & Seth 2020,10.33735/phimisci.2020.ii.64,"Sections 6–8, pp. 16–26; PP as a framework for NCC",,,
FM,M5,submitted-v1,1,INTERPRETED,positive,NOT_LOCATED,,,,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,abstract (unified representation of one body/world),Feinberg & Mallatt 2020,10.3389/fpsyg.2020.01041,Basic consciousness; special neurobiological features; affective consciousness,,,
GNWT,M5,submitted-v1,1,INTERPRETED,positive,NOT_LOCATED,,,,Dehaene et al. 2006,10.1016/j.tics.2006.03.007,abstract (global availability); operationalisation is cortical ignition/P3b,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,GNW model; signatures; self-monitoring discussion,,,
UAL,M5,submitted-v1,1,INTERPRETED,positive,NOT_LOCATED,,,,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,"Part I, hallmarks 1-2 (global accessibility, binding/unification), Table 1","Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,"Part I, hallmarks and UAL; Part II, empirical predictions",,,
AST,M6,submitted-v1,1,INTERPRETED,positive,NOT_LOCATED,,,,Webb & Graziano 2015,10.3389/fpsyg.2015.00500,"p. 5 (internal models are simplified, schematic descriptions)",Webb & Graziano 2015,10.3389/fpsyg.2015.00500,"Sections on attention schema, internal awareness, and neural implementation",,,
FM,M6,submitted-v1,1,NOT_LOCATED,,INTERPRETED,positive,,,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,whole text,Feinberg & Mallatt 2020,10.3389/fpsyg.2020.01041,Mapped image-based consciousness,,,
HOSS,M6,submitted-v1,1,EXPLICIT,positive,INTERPRETED,positive,,,Fleming 2020,10.1093/nc/niz020,"abstract and Section 3 Hypothesis (""one-dimensional continuum from absent to present""; asymmetric nesting, Figure 1D); Section 7 (""the higher-order awareness state is simple and low-dimensional"")",Fleming 2020,10.1093/nc/niz020,"Model architecture, Fig. 1 and discussion of content versus awareness",,,
NSF,M6,added-in-revision,1,INTERPRETED,positive,NOT_LOCATED,,,,Tallon-Baudry 2022,10.1016/j.tics.2022.09.002,abstract (dimensions and topology of subjective experience posed as questions),Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,Neural subjective frame; heartbeat-evoked responses; empirical predictions,,,
PP,M6,submitted-v1,1,INTERPRETED,positive,NOT_LOCATED,,,,Seth & Tsakiris 2018,10.1016/j.tics.2018.08.008,abstract (embodied selfhood as instrumental interoceptive inference; non-object-like character),Hohwy & Seth 2020,10.33735/phimisci.2020.ii.64,"Sections 6–8, pp. 16–26; PP as a framework for NCC",,,
FM,M7,submitted-v1,1,NOT_LOCATED,,NOT_APPLICABLE,,,,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,whole text,Feinberg & Mallatt 2020,10.3389/fpsyg.2020.01041,"Introduction / scope, local para. 16",,,
