id,theory_id,theory,quantity_id,draft_id,draft_quantity_id,source_label,source_doi,source_locus,evidence_status,condition,manipulation_or_contrast,outcome_measure,relation,expected_result,locus_prediction,timing_prediction,distribution_prediction,auxiliary_assumptions,status,test_status,endorsed_by_proponents,distinguishable_from,distinguishing_feature,distinguishability_confidence,opposed_by,notes
P01,GNWT,GNWT,M8,P01,M8,Melloni et al. 2023 (Cogitate protocol); Cogitate Consortium et al. 2025,10.1371/journal.pone.0268577; 10.1038/s41586-025-08888-1,"Melloni et al. 2023, ""Differential predictions of the theories"", prediction 2 (Decoding content of consciousness), pp. 4-5; analysis #1 (p. 11); Cogitate 2025 Fig. 2 and abstract (""limited representation of certain conscious dimensions in the prefrontal cortex"")",full-text,"suprathreshold visual stimuli (faces, objects, letters, false fonts), task-relevant and task-irrelevant, 0.5/1.0/1.5 s","stimulus category, identity, orientation","decoding of the conscious content from prefrontal cortex (iEEG, MEG, fMRI) after onset",locus (where content is represented),"content decodable in PFC, for task-irrelevant stimuli as well",prefrontal cortex (and parietal) in tandem with high-level sensory cortex,"after onset, during the ignition window (~0.3-0.5 s)","consistent decodability across PFC and high-level sensory cortex for all consciously seen stimuli, task-relevant or not","stimuli consciously seen throughout; PFC decoding treated as broadcast, not as post-perceptual processing",stated,"preregistered; partly supported (category decodable in PFC), challenged for identity/orientation",yes,P04; P08; P12,P04: locus and necessity (PFC vs posterior decodability) | P08: locus and necessity (local visual recurrence sufficient vs PFC broadcast required) | P12: locus (TPJ vs PFC),2,P04 only at the level of necessity (see notes),P01 and P04 can both be true; they oppose only on which locus is necessary for access
P02,GNWT,GNWT,M8,P02,M8,Melloni et al. 2023 (Cogitate protocol); Cogitate Consortium et al. 2025,10.1371/journal.pone.0268577; 10.1038/s41586-025-08888-1,"Melloni et al. 2023, prediction 3 (Temporal dynamics of NCC), p. 5; analysis #2 (pp. 11-13); Cogitate 2025 abstract (""general lack of ignition at stimulus offset"")",full-text,as P01,stimulus onset vs offset,transient (phasic) prefrontal ignition at onset and again at offset,timing profile,a second ignition event at stimulus offset,prefrontal cortex,transient ignition ~0.3-0.5 s after onset and again after offset; activity-silent in between,"amplitude and content-specific pattern maximal in onset and offset windows, minimal in between; temporal generalization between onset and offset bursts only",offset is a change in conscious content and therefore triggers broadcast,stated,preregistered; challenged (no offset ignition found),yes,P05; P08,P05: timing (phasic onset/offset ignition vs sustained for duration) | P08: timing (100-300 ms local recurrence vs 300-500 ms prefrontal ignition) and locus,3,P05,the cleanest value-level opposition in the field: phasic at offset (GNWT) vs sustained without an offset event (IIT)
P03,GNWT,GNWT,M8,P03,M8,Melloni et al. 2023 (Cogitate protocol); Cogitate Consortium et al. 2025,10.1371/journal.pone.0268577; 10.1038/s41586-025-08888-1,"Melloni et al. 2023, prediction 5 (Functional connectivity), pp. 5-6; analysis #3 (p. 11); Cogitate 2025 abstract (""content-specific synchronization between frontal and early visual areas"")",full-text,as P01,conscious content present vs absent,content-specific long-range synchronisation between prefrontal and category-selective posterior areas,connectivity locus,PFC–posterior synchrony carries the content,long-range PFC <-> category-selective posterior areas,during conscious perception (sustained meta-stable state),gamma/beta synchrony pattern specific to the perceived content,synchrony is the signature of broadcast,stated,preregistered; partly supported (frontal-early visual synchrony found),yes,P06,P06: connectivity locus (PFC-posterior vs within-posterior synchrony),3,P06,
P04,IIT,IIT (3.0/4.0),M8,P04,M8,Melloni et al. 2023 (Cogitate protocol); Cogitate Consortium et al. 2025,10.1371/journal.pone.0268577; 10.1038/s41586-025-08888-1,"Melloni et al. 2023, predictions 1 (Location of NCC) and 2, pp. 4-5; analysis #1 (p. 11); Cogitate 2025 Fig. 2",full-text,as P01,"stimulus category, identity, orientation","decoding of content from the posterior hot zone, sustained for the stimulus duration",locus,content decodable in posterior cortex throughout the percept,"posterior hot zone (occipital, temporal, parietal)",sustained for the duration of the percept,content maximally decodable from posterior areas; PFC decodability not required,posterior cortex is the physical substrate of the percept,stated,"preregistered; passed for category and duration, not for sustained orientation",yes,P01; P09; P12; P29,P01: locus and necessity (PFC vs posterior decodability) | P09: locus and necessity (dlPFC vs posterior hot zone) | P12: locus (TPJ vs posterior hot zone) | P29: locus and distribution (prefrontal asymmetric ignition vs sustained posterior),2,P01 (necessity only),
P05,IIT,IIT (3.0/4.0),M8,P05,M8,Melloni et al. 2023 (Cogitate protocol); Cogitate Consortium et al. 2025,10.1371/journal.pone.0268577; 10.1038/s41586-025-08888-1,"Melloni et al. 2023, prediction 3, p. 5; analysis #2 (pp. 12-13: ""IIT predicts sustained, content-specific activity patterns in posterior cortex throughout the duration of the percept"")",full-text,as P01,stimulus duration 0.5/1.0/1.5 s,"posterior activation sustained for the duration of the stimulus, no separate offset event required",timing profile,activation tracks duration,posterior cortex,"sustained throughout stimulus duration (0.5/1.0/1.5 s), no separate offset event",activation and content-specific pattern track duration; temporal generalization across the whole stimulus window,the substrate's state persists while the percept persists,stated,preregistered; passed,yes,P02; P29,P02: timing (phasic onset/offset ignition vs sustained for duration) | P29: distribution/timing (asymmetric ignition on presence vs sustained tracking of duration),1,P02,
P06,IIT,IIT (3.0/4.0),M8,P06,M8,Melloni et al. 2023 (Cogitate protocol); Cogitate Consortium et al. 2025,10.1371/journal.pone.0268577; 10.1038/s41586-025-08888-1,"Melloni et al. 2023, prediction 5, p. 6 (synchrony between category-selective posterior areas and V1/V2); Cogitate 2025 abstract (""lack of sustained synchronization within the posterior cortex"")",full-text,as P01,conscious content present vs absent,sustained synchronisation within posterior cortex,connectivity locus,within-posterior synchrony sustained throughout the percept,within posterior cortex (category-selective areas <-> V1/V2),sustained throughout the percept,short-range synchrony pattern distinct for each conscious content,integration is realised as posterior synchrony,stated,preregistered; challenged (absent),yes,P03,P03: connectivity locus (PFC-posterior vs within-posterior synchrony),3,P03,
P07,IIT,IIT (3.0/4.0),M6,P07,M6,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,"Albantakis et al. 2023, abstract and p. 4 (identity of experience with the unfolded cause-effect structure)",full-text,any system with a definable substrate,substrate connectivity / unfolded cause–effect structure,structure (hence dimensionality) of the experience predicted from the substrate,identity / marker,phenomenal structure matches the unfolded structure,"wherever the main complex is (posterior cortex, auxiliary prediction)",co-extensive with the experience,phenomenal structure has the geometry of the unfolded cause-effect structure (high-dimensional),the identity postulate; measurability of Φ-structure in real systems,stated,,yes,P10,P10: structure/magnitude (phenomenal structure identical to a high-dimensional cause-effect structure vs a one-dimensional awareness state); adjudication needed on whether the two claims address the same variable,1,,
P08,RPT,Recurrent processing (RPT),M8,P08,M8,Lamme & Roelfsema 2000; Lamme 2006,10.1016/s0166-2236(00)01657-x,"Lamme & Roelfsema 2000, abstract (recurrent processing necessary; feedforward sweep insufficient); Lamme 2006, abstract; timing window (~100-300 ms) carried from the v1.3 justification",abstract-only,"visual stimuli near threshold, seen vs unseen, with and without report",seen vs unseen; report vs no-report,"local recurrent activity in visual cortex (~100–300 ms feedback; VAN) present for seen, absent for unseen",timing / locus; necessity and sufficiency,local recurrence is necessary and sufficient for phenomenal content; frontal ignition is not necessary,"sensory (visual) cortex, local recurrent loops",~100-300 ms after onset (recurrent phase; VAN),"present for seen, absent for unseen, independent of report; frontal ignition not required",phenomenal content can exist without access/report,stated,,yes,P01; P02; P09; P12; P29,P01: locus and necessity (local visual recurrence sufficient vs PFC broadcast required) | P02: timing (100-300 ms local recurrence vs 300-500 ms prefrontal ignition) and locus | P09: locus and necessity (visual cortex vs dlPFC) | P29: locus (visual cortex vs prefrontal awareness state) and necessity | P12: locus (TPJ vs visual cortex),2,P02 (on the necessity of prefrontal ignition),
P09,HOT,Higher-order theory (HOT / HOROR),M8,P09,M8,Lau & Rosenthal 2011; Rounis et al. 2010,10.1016/j.tics.2011.05.009; 10.1080/17588921003632529,"Lau & Rosenthal 2011, abstract (prefrontal criticisms addressed); Rounis et al. 2010, abstract (dlPFC theta-burst TMS lowers visibility and metacognitive sensitivity with d prime intact)",abstract-only,perceptual task with performance matched,"disruption of dorsolateral PFC (TMS, lesion)",subjective awareness / metacognitive sensitivity with first-order discrimination held constant,locus; necessity,PFC disruption reduces awareness or meta-d′ while d′ is intact,dorsolateral prefrontal cortex,not stated,awareness/meta-d prime reduced at matched d prime after PFC disruption,the Rounis et al. 2010 effect; a replication reported no effect (Bor et al. 2017) and a methodological reply (Ruby et al. 2018) — the auxiliary evidence is contested,stated,,yes,P04; P08; P12,P08: locus and necessity (visual cortex vs dlPFC) | P04: locus and necessity (dlPFC vs posterior hot zone) | P12: locus (dlPFC vs TPJ),2,P08 (on prefrontal necessity),
P10,HOSS,Higher-order state space (HOSS),M6,P10,M6,Fleming 2020,10.1093/nc/niz020,"Fleming 2020, abstract and Section 3 Hypothesis (1-D awareness state; asymmetric nesting, Fig. 1D); Section 7",full-text,"perception, imagery and reality-monitoring tasks",stimulus dimensions vs awareness judgement,awareness judgements as a one-dimensional state inferred over a high-dimensional perceptual space,structure / dimensionality,awareness varies along one dimension nested above perceptual content; confusions of perception and imagination follow,"higher level of the perceptual hierarchy (prefrontal, per Section 5)",not stated,awareness judgements vary along one dimension nested above a high-dimensional perceptual space,asymmetric inference between the two levels,stated,,yes,P07,P07: structure/magnitude (phenomenal structure identical to a high-dimensional cause-effect structure vs a one-dimensional awareness state); adjudication needed on whether the two claims address the same variable,1,,
