publication_id,doi,n_rows_returned,n_experiments_identified,partition_status,evidence_status,partition_note,exclusion_reason
P01,10.1038/s41586-025-08888-1,1,1,verified-main-text,full-text,"One common design, three recording arms (256 recruited in total); no multiplication by recording technique.",
P03,10.1371/journal.pbio.0050260,1,1,verified-main-text,full-text,Single design unless distinct samples/contrasts are separately labelled.,
P04,10.1038/89551,1,1,unverified-publication-as-one,abstract-only,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P06,10.7554/elife.05652,1,1,verified-main-text,full-text,Single design unless distinct samples/contrasts are separately labelled.,
P07,10.1038/nn1549,1,1,unverified-publication-as-one,abstract-only,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P08,10.1038/s41467-021-21393-z,3,3,verified-main-text,full-text,Three new samples: main task and two named controls. An earlier threshold-setting pilot has no separately reported analyzed contrast and is not counted.,
P09,10.1126/science.280.5371.1930,1,1,unverified-publication-as-one,abstract-only,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P10,10.1523/jneurosci.4403-13.2014,1,1,verified-main-text,full-text,One sample with two stimulus types and active/passive sessions. Pupil recording does not make the accessed content interoceptive.,
P11,10.1038/nn1500,1,1,unverified-publication-as-one,abstract-only,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P12,10.3389/fpsyg.2014.01078,2,2,verified-main-text,full-text,"Behavioral and EEG samples are separate. IDs follow the Results presentation (behavioral first); Methods lists EEG participants first. Earlier inattentional studies are background, not new rows.",
P13,10.1038/s41467-022-35117-4,3,3,two-verified-plus-one-provenance-unresolved,full-text,"Two verified visual designs, plus one separately analyzed auditory observation. The auditory data provenance requires supplementary/adjudication review.",
P14,10.1016/j.cub.2025.10.026,1,1,unverified-publication-as-one,abstract-only,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P16,10.1016/j.concog.2011.09.021,1,1,unverified-publication-as-one,abstract-only,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P17,10.1080/17588921003632529,1,1,unverified-publication-as-one,abstract-only,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P18,10.1126/science.1191883,1,1,verified-main-text,full-text,Single design unless distinct samples/contrasts are separately labelled.,
P19,10.1093/brain/awu221,1,1,verified-main-text,full-text,One study with three groups and two within-person tasks. Do not duplicate participants as independent perceptual and memory experiments.,
P20,10.1038/s41467-023-37322-1,3,3,main-two-verified-ancillary-details-incomplete,full-text,"Two named new experiments plus the reported initial 4%-contrast study (12% real judgments, 57% correct orientation). The fMRI dataset is a reanalysis and creates no row.",
P21,10.1016/j.pneurobio.2020.101844,6,6,six-methods-versus-abstract-discrepancy,full-text,Author proof contains Methods/Results for experiments 1–6. Abstract wording suggests six plus two. Six verified units retained; no invented E7/E8. Final-version partition unresolved.,
P22,10.1037/a0017121,4,4,verified-main-text,full-text,"Three named studies plus a separate analyzed sample of eight difficulty judges. IDs follow first occurrence: Study 1, its judges, Study 2, Study 3.",
P23,10.1007/s00221-013-3566-5,1,1,unverified-publication-as-one,abstract-only,"Abstract describes one sample and two task contrasts; distinct additional samples cannot be established. Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P24,10.3758/app.71.8.1807,6,6,verified-main-text,full-text,"Studies 1, 2, 3, 4A, 4B and 4C have separate samples/analyses. Substudies are not collapsed into one Study 4 row.",
P26,10.1037/1528-3542.7.4.882,3,3,verified-main-text,full-text,Single design unless distinct samples/contrasts are separately labelled.,
P27,10.1016/j.visres.2008.07.013,1,1,unverified-publication-as-one,abstract-only,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P28,10.1016/j.cognition.2016.01.009,1,1,unverified-publication-as-one,abstract-only,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P29,10.1523/jneurosci.18-01-00411.1998,1,1,verified-main-text,full-text,Single design unless distinct samples/contrasts are separately labelled.,
P30,10.1016/j.neuroimage.2013.01.054,1,1,verified-main-text,full-text,Single design unless distinct samples/contrasts are separately labelled.,
P31,10.1111/1469-8986.3850752,1,1,unverified-publication-as-one,abstract-only,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P32,10.1016/j.biopsycho.2014.11.004,1,1,unverified-publication-as-one,abstract-only,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P33,10.1093/scan/nss066,2,2,verified-main-text,full-text,Separate pilot sample is included. Main-task visual response demands do not constitute a report about the accessed respiratory content.,
P34,10.1093/brain/aww358,1,1,unverified-publication-as-one,abstract-only,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",
P35,10.1523/jneurosci.0696-23.2023,0,0,excluded-reanalysis,full-text,Methods explicitly reuses a previously collected/published resting-state dataset (Van Calster et al. 2017).,U1: reanalysis is not a new empirical experiment. Retained here for publication-level alignment.
P36,10.1002/hbm.24748,1,1,verified-main-text,full-text,The study reports a new sample while describing a previous behavioral finding; it is not excluded as a reanalysis.,
