publication_id,study_family_id,experiment_id,sample_id,citation_label,doi,year,experiment_label,paradigm,unit_type_coder2,n_experiments_identified,partition_note,modality,affective_status,effector_type,manipulation,measured_outcome,report_type,theory_attribution_by_authors,by_authors_locus,theory_attribution_later,later_attribution_evidence,contested_inclusion,contested_reason,ancillary_experiment,source_locus,adjudication_reason,evidence_status,provisional,partition_status,flag_for_adjudication
P01,P01,P01-E1,P01-FMRI;P01-MEG;P01-IEEG,Cogitate Consortium et al. 2025,10.1038/s41586-025-08888-1,2025,"Common design with fMRI, MEG and iEEG arms",Preregistered multimodal suprathreshold visual task,experiment,1,"One common design, three recording arms (256 recruited in total); no multiplication by recording technique.",visual,neutral,,"Category, duration and task relevance","Content decoding, duration tracking and connectivity",both,GNWT;IIT;HOT;RPT,"Abstract, Introduction, Fig.1: GNWT/IIT; Discussion para.67: named implications for higher-order and recurrent-processing theories",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,True,All critical stimuli were suprathreshold; no seen/unseen manipulation. Admissibility rests on comparing specific conscious contents.,False,"Fig.1; Methods, participants and task",GNWT/IIT are primary tests; HOT/RPT are included because I2 also permits explicitly named implications in Discussion.,full-text,False,verified-main-text,True
P03,P03,P03-E1,P03-S1,"Del Cul, Baillet & Dehaene 2007",10.1371/journal.pbio.0050260,2007,Masked numeral experiment,Backward masking with EEG,experiment,1,Separate techniques or within-sample conditions are not counted as additional experiments.,visual,neutral,,Target-mask SOA,"Numeral discrimination, visibility and EEG",report,GNWT;RPT,Discussion contrasts global neuronal workspace with local recurrent processing,GNWT;HOSS;PFT,"CONTEXT_UNNAMED | GNWT:10.1016/j.neuron.2020.01.026, late access dynamics; HOSS:10.1093/nc/niz020, introduction to global ignition; PFT:10.3389/fpsyg.2012.00369, integration consensus",False,,False,"Methods, participants/procedure; Discussion",,full-text,False,verified-main-text,False
P04,P04,P04-E1,P04-E1-S1,Dehaene et al. 2001,10.1038/89551,2001,Publication retained pending full methods,Masked versus visible word priming,publication-as-one,1,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",visual,neutral,,Word visibility under masking,fMRI/ERP response and behavioral priming,report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,HOSS,"CONTEXT_UNNAMED | HOSS:10.1093/nc/niz020, introduction, global-ignition evidence",False,,False,Abstract,Recording modalities do not establish independent samples from the abstract alone.,abstract-only,True,unverified-publication-as-one,True
P06,P06,P06-E1,P06-E1-S1,Salti et al. 2015,10.7554/elife.05652,2015,Common EEG/MEG task,Threshold visual localization with EEG/MEG,experiment,1,Separate techniques or within-sample conditions are not counted as additional experiments.,visual,neutral,,Weak visual stimulus and visibility,"Location choice, awareness report and decoding",report,GNWT,"Discussion, global neuronal workspace and conscious information",GNWT,"CONTEXT_UNNAMED | GNWT:10.1016/j.neuron.2020.01.026, dynamics and decodable conscious information",False,,False,Common EEG/MEG task: Methods and Results; attribution separately located,,full-text,False,verified-main-text,False
P07,P07,P07-E1,P07-E1-S1,"Sergent, Baillet & Dehaene 2005",10.1038/nn1549,2005,Publication retained pending full methods,Attentional blink,publication-as-one,1,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",visual,neutral,,Target timing in a rapid visual stream,Visibility and event-related responses,report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,GNWT;RPT,"CONTEXT_UNNAMED | GNWT:10.1016/j.neuron.2020.01.026, early/late access dynamics; RPT:10.1080/17588921003731586, target PDF p.9, depth of processing",False,,False,Abstract,,abstract-only,True,unverified-publication-as-one,True
P08,P08,P08-E1,P08-E1-S1,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,Main vowel experiment,Auditory threshold task and passive listening,experiment,3,Three new samples: main task and two named controls. An earlier threshold-setting pilot has no separately reported analyzed contrast and is not counted.,auditory,neutral,,Auditory SNR; active/passive sessions,"Audibility, identification, random experience probes and EEG",both,GNWT,"Introduction/Discussion: global neuronal workspace, late ignition",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,"Methods, main experiment; Results, passive probes",,full-text,False,verified-main-text,False
P08,P08,P08-E2,P08-E2-S1,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,Control 1: passive sessions only,Auditory threshold task and passive listening,experiment,3,Three new samples: main task and two named controls. An earlier threshold-setting pilot has no separately reported analyzed contrast and is not counted.,auditory,neutral,,Vowel SNR without prior active session,EEG bifurcation and occasional experience probes,no-report,GNWT,"Introduction/Discussion: global neuronal workspace, late ignition",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,True,Methods: Control experiment 1; same passive task and probes,No-report means no immediate auditory task report; occasional retrospective experience probes remain.,full-text,False,verified-main-text,True
P08,P08,P08-E3,P08-E3-S1,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,Control 2: pure tones,Auditory threshold task and passive listening,experiment,3,Three new samples: main task and two named controls. An earlier threshold-setting pilot has no separately reported analyzed contrast and is not counted.,auditory,neutral,,Tone SNR; active/passive sessions,Tone report and EEG responses,both,GNWT,"Introduction/Discussion: global neuronal workspace, late ignition",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,True,Methods: Control experiment 2,,full-text,False,verified-main-text,False
P09,P09,P09-E1,P09-E1-S1,"Lumer, Friston & Rees 1998",10.1126/science.280.5371.1930,1998,Publication retained pending full methods,Binocular rivalry and replay,publication-as-one,1,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",visual,neutral,,Rivalry versus stimulus transitions,Percept reports and fMRI,report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Abstract,,abstract-only,True,unverified-publication-as-one,True
P10,P10,P10-E1,P10-S1,Frässle et al. 2014,10.1523/jneurosci.4403-13.2014,2014,Within-sample active/passive rivalry,Binocular rivalry with ocular indicators,experiment,1,One sample with two stimulus types and active/passive sessions. Pupil recording does not make the accessed content interoceptive.,visual,neutral,,Rivalry/replay and report demand,"Percepts, optokinetic nystagmus, pupil and fMRI",both,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",GNWT;IIT;NSF,"CONTEXT_NAMED | GNWT;IIT:10.1038/s41586-025-08888-1, introduction to report independence and citation of Frassle 2014; CONTEXT_UNNAMED | NSF:10.1523/JNEUROSCI.0262-16.2016, Discussion, I/Me and precuneus",False,,False,"Materials and Methods: participants, stimuli and conditions",,full-text,False,verified-main-text,False
