cell_id,theory_id,theory,row_class,origin,domain_id,domain,prediction_id,code,polarity,relation,claim_text,source_label,source_doi,source_locus,evidence_status,confidence,provisional,legacy_code,first_coder_code_M4,superseded_by,flag_for_adjudication,legacy_justification,legacy_source_label,legacy_source_doi,note,coder,n_predictions,previous_code,previous_polarity,recode_note
ASTxM1,AST,AST,trial-level,submitted-v1,M1,number of simultaneously competing action policies,,NOT_LOCATED,,,Competing policies are not represented in the attention schema.,Graziano & Webb 2015,10.3389/fpsyg.2015.00500,whole text (sections on the attention schema and internal models),full-text,2,False,NO,,,,Awareness is a schematic model of attention; competing policies are not represented.,Graziano & Webb 2015,10.3389/fpsyg.2015.00500,,author1,1,,,
ASTxM2,AST,AST,trial-level,submitted-v1,M2,incompatibility of the competing policies,,NOT_LOCATED,,,No conflict term.,Graziano & Webb 2015,10.3389/fpsyg.2015.00500,whole text (sections on the attention schema and internal models),full-text,2,False,NO,,,,No conflict term.,Graziano & Webb 2015,10.3389/fpsyg.2015.00500,,author1,1,,,
ASTxM3,AST,AST,trial-level,submitted-v1,M3,valence,,NOT_LOCATED,,,"The schema models attentional state, not valence.",Graziano & Webb 2015,10.3389/fpsyg.2015.00500,whole text (sections on the attention schema and internal models),full-text,2,False,NO,,,,"The attention schema models attentional state, not valence.",Graziano & Webb 2015,10.3389/fpsyg.2015.00500,,author1,1,,,
ASTxM5,AST,AST,trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,NOT_LOCATED,,,No organism-wide coherence prediction.,Graziano & Webb 2015,10.3389/fpsyg.2015.00500,whole text (sections on the attention schema and internal models),full-text,2,False,NO,,,,No organism-wide coherence prediction.,Graziano & Webb 2015,10.3389/fpsyg.2015.00500,,author1,1,,,
ASTxM6,AST,AST,trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,INTERPRETED,positive,constitution,"The schema is explicitly simplified, implying low dimensionality of the represented awareness state; no dimensionality is predicted quantitatively.",Graziano & Webb 2015,10.3389/fpsyg.2015.00500,"p. 5 (internal models are simplified, schematic descriptions)",full-text,1,False,IMPLICIT,,,,"The schema is explicitly simplified and non-physical, implying low dimensionality, but no dimensionality is measured or predicted.",Graziano & Webb 2015,10.3389/fpsyg.2015.00500,,author1,1,,,
ASTxM7,AST,AST,trial-level,submitted-v1,M7,metacognitive sensitivity,,INTERPRETED,positive,marker,"Systematic inaccuracy of the schema is predicted; introspective accuracy is a consequence, not a quantified predictor.",Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,abstract (attention control relies on an internal model responsible for claims of awareness),abstract-only,1,False,IMPLICIT,,,,Predicts systematic inaccuracy of the schema; accuracy of introspection is a consequence rather than a quantified predictor.,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,,author1,1,,,
ASTxM8,AST,AST,trial-level,submitted-v1,M8,cortical signature of access,P12,EXPLICIT,positive,marker,A temporo-parietal substrate of the attention schema; its causal disruption should impair awareness attributions and detection.,"Kelly, Webb, Meier, Arcaro & Graziano 2014; Graziano & Webb 2015",10.1073/pnas.1401201111; 10.3389/fpsyg.2015.00500,Kelly et al. 2014 abstract (bilateral TPJ activity when attributing awareness; TMS to those sites impairs visual detection); Graziano & Webb 2015 p. 4 (hemispatial neglect as loss of subjective awareness),abstract-only,2,False,YES,,,"Legacy YES cites Graziano & Webb 2015 and Wilterson et al. 2020; neither text as read names TPJ/STS as substrate (Graziano & Webb 2015 full text searched; Wilterson 2020 abstract is behavioural). The locus claim is supported by Kelly et al. 2014 (abstract), added here as the locus source. | 24 Sep 2026: full text not reachable from the sandbox (publisher-closed); code rests on the abstract and is provisional until the PDF is read by the first coder.",Temporo-parietal junction and superior temporal sulcus as substrate of the attention schema; causal manipulations predicted to disrupt awareness.,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,,author1,1,,,
ASTxM4a,AST,AST,trial-level,added-in-revision,M4a,access to interoceptive content as content,,NOT_LOCATED,,,No statement located on access to interoceptive content as content.,Graziano & Webb 2015,10.3389/fpsyg.2015.00500,no statement located,full-text,2,True,,NO,,,,,,,author1,1,,,
ASTxM4b,AST,AST,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,NOT_LOCATED,,,No statement located on visceral modulation of access to exteroceptive content.,Graziano & Webb 2015,10.3389/fpsyg.2015.00500,no statement located,full-text,2,True,,NO,,,,,,,author1,1,,,
ASTxM4c,AST,AST,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,NOT_LOCATED,,,No statement located on conscious involvement in purely autonomic conflict.,Graziano & Webb 2015,10.3389/fpsyg.2015.00500,no statement located,full-text,2,True,,NO,,,,,,,author1,1,,,
