doi,file,original_name,pages,sha256,ref
10.1016/j.tics.2013.09.007,10_1016_j_tics_2013_09_007.pdf,"Interoceptive inference, emotion, and the embodied self.pdf",9,8fa71b0cff38812f,Seth (2013)
10.1007/s00221-013-3566-5,10_1007_s00221_013_3566_5.pdf,Neural correlates of the essence of conscious conflict: fMRI of sustaining incompatible intentions.pdf,15,fb716299658b7751,Gray et al. (2013)
10.1016/j.visres.2008.07.013,10_1016_j_visres_2008_07_013.pdf,How emotional arousal and valence influence access to awareness.pdf,10,d18256904323a93e,Sheth & Pham (2008)
10.1126/science.280.5371.1930,10_1126_science_280_5371_1930.pdf,"Neural Correlates of Perceptual Rivalry in the Human Brain (Lumer, E. D).pdf",5,e6db488e35714f22,Lumer et al. (1998)
10.1523/jneurosci.18-01-00411.1998,10_1523_jneurosci_18_01_00411_1998.pdf,Masked Presentations of Emotional Facial Expressions Modulate Amygdala Activity without Explicit Knowledge.pdf,8,085d72a104dd8777,Whalen et al. (1998)
10.1016/j.cub.2025.10.026,10_1016_j_cub_2025_10_026.pdf,Neural correlates of consciousness in an auditory no-report fMRI study.pdf,17,452b48176ec2a30d,Dellert et al. (2025)
10.1523/jneurosci.1932-20.2021,10_1523_jneurosci_1932_20_2021.pdf,Responses to Heartbeats in Ventromedial Prefrontal Cortex Contribute to Subjective Preference-Based Decisions.pdf,13,cee0c73ddd346b27,Azzalini et al. (2021)
10.33735/phimisci.2020.ii.64,10_33735_phimisci_2020_ii_64.pdf,Predictive processing as a systematic basis for identifying the neural correlates of consciousness.pdf,34,afa3b8d856148cee,Hohwy & Seth (2020)
10.1093/scan/nss066,10_1093_scan_nss066.pdf,Mindfulness meditation training alters cortical representations of interoceptive attention.pdf,12,69feffe850285af6,Farb et al. (2012)
10.1017/s0140525x15002812,10_1017_s0140525x15002812.pdf,Passive frame theory: A new synthesis.pdf,41,0efff3f2a7aca23e,Morsella et al. (2016)
10.1093/brain/aww358,10_1093_brain_aww358.pdf,Split brain: divided perception but undivided consciousness.pdf,7,b53553cdcd287e09,Pinto et al. (2017)
10.3390/bs14040337,10_3390_bs14040337.pdf,Identifying Consciousness in Other Creatures: Three Initial Steps.pdf,13,4904d24d4e3dacb6,Heredia Cedillo et al. (2024)
10.1016/j.biopsycho.2014.11.004,10_1016_j_biopsycho_2014_11_004.pdf,Knowing your own heart: Distinguishing interoceptive accuracy from interoceptive awareness.pdf,10,dfe8348f6d9e4252,Garfinkel et al. (2015)
10.1017/s0140525x15000643,10_1017_s0140525x15000643.pdf,Homing in on consciousness in the nervous system: An action-based synthesis.pdf,70,4ea08ec9a7ea1c94,Morsella et al. (2015)
10.1038/89551,10_1038_89551.pdf,Cerebral mechanisms of word masking and unconscious repetition priming.pdf,7,a1f36994ae3e5b10,Dehaene et al. (2001)
10.1016/j.tics.2006.03.007,10_1016_j_tics_2006_03_007.pdf,"Conscious, preconscious, and subliminal processing: a testable taxonomy.pdf",8,d9503d6105108245,Dehaene et al. (2006)
10.1038/s41562-017-0069,10_1038_s41562_017_0069.pdf,Evidence for a large-scale brain system supporting allostasis and interoception in humans.pdf,14,5fcdc68a98db8ecb,Kleckner et al. (2017)
10.1073/pnas.1401201111,10_1073_pnas_1401201111.pdf,Attributing awareness to oneself and to others.pdf,6,11abc04eaf9eca5e,Kelly et al. (2014)
10.1016/j.pneurobio.2020.101844,10_1016_j_pneurobio_2020_101844.pdf,Attention control and the attention schema theory of consciousness.pdf,15,e562ad8cdd11c193,Wilterson et al. (2020)
10.1037/1528-3542.7.4.882,10_1037_1528_3542_7_4_882.pdf,Fearful Expressions Gain Preferential Access to Awareness During Continuous Flash Suppression.pdf,5,53a6f729481377ef,Yang et al. (2007)
10.1523/jneurosci.4403-13.2014,10_1523_jneurosci_4403_13_2014.pdf,Binocular Rivalry: Frontal Activity Relates to Introspection and Action But Not to Perception .pdf,10,54be3d2841988bff,Frässle et al. (2014)
10.1111/1469-8986.3850752,10_1111_1469_8986_3850752.pdf,Error-related brain potentials are differentially related to awareness of response errors Evidence from an antisaccade task ( etc.).pdf,9,fdef48a6b29aea79,Nieuwenhuis et al. (2001)
10.1016/j.tics.2018.08.008,10_1016_j_tics_2018_08_008.pdf,Being a beast machine: the somatic basis of selfhood.pdf,31,d2886c6854ffff9f,Seth & Tsakiris (2018)
10.1371/journal.pcbi.1003094,10_1371_journal_pcbi_1003094.pdf,Emotional Valence and the Free-Energy Principle .pdf,14,411c89bdca0962b1,Joffily & Coricelli (2013)
10.1038/nn1500,10_1038_nn1500.pdf,"Continuous flash suppression reduces negative afterimages (Tsuchiya, Naotsugu Koch, Christof).pdf",6,a747443172603508,Tsuchiya & Koch (2005)
10.1016/j.neuron.2020.01.026,10_1016_j_neuron_2020_01_026.pdf,Conscious Processing and the Global Neuronal Workspace Hypothesis.pdf,23,108974d9eb090bc6,Mashour et al. (2020)
10.1016/j.concog.2011.09.021,10_1016_j_concog_2011_09_021.pdf,A signal detection theoretic approach for estimating metacognitive sensitivity from confidence ratings.pdf,9,b6a0189f1916bc84,Maniscalco & Lau (2012)
10.1098/rstb.2016.0007,10_1098_rstb_2016_0007.pdf,Active interoceptive inference and the emotional brain.pdf,10,e3a93fa2fb3e918d,Seth & Friston (2016)
10.1016/j.tics.2011.05.009,10_1016_j_tics_2011_05_009.pdf,Empirical support for higher-order theories of conscious awareness.pdf,9,d8e9f61818abb916,Lau & Rosenthal (2011)
10.1073/pnas.1619316114,10_1073_pnas_1619316114.pdf,A higher-order theory of emotional consciousness.pdf,10,d8cbf7151bf9969c,LeDoux & Brown (2017)
